Letterboxd list export v7
Date,Name,Tags,URL,Description
2026-01-06,L1 cache,,https://boxd.it/RqaKI,

Position,Name,Year,URL,Description
1,Burning,2018,https://boxd.it/hHUa,
2,Woman Is the Future of Man,2004,https://boxd.it/1K4O,
3,Mountains May Depart,2015,https://boxd.it/a86U,
4,The Sacrifice,1986,https://boxd.it/1xg8,
5,The Idiots,1998,https://boxd.it/2amu,
6,A Tale of Winter,1992,https://boxd.it/1WJO,
7,Mishima: A Life in Four Chapters,1985,https://boxd.it/1sBA,
8,Three Colours: Blue,1993,https://boxd.it/2b7K,
9,Kinetta,2005,https://boxd.it/3d2Y,
10,Dogtooth,2009,https://boxd.it/158K,
11,Alps,2011,https://boxd.it/2RHg,
12,A Short Film About Love,1988,https://boxd.it/1jXC,
13,A Short Film About Killing,1988,https://boxd.it/1VtK,
14,Taste of Cherry,1997,https://boxd.it/1m8W,
15,Twin Peaks,1989,https://boxd.it/g8pk,
16,Babylon,2022,https://boxd.it/mM02,
17,My Dinner with Andre,1981,https://boxd.it/1vLe,
18,100 METERS,2025,https://boxd.it/NpbA,
19,Blue Spring,2001,https://boxd.it/1fIo,
20,Mirrored Mind,2005,https://boxd.it/2MxK,
