Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2025-07-06,Notting Hill,1999,https://boxd.it/ae4QpB,,,hotstar,2025-07-06
2025-07-07,Boyhood,2014,https://boxd.it/aeUTSv,,,hotstar,2025-07-07
2025-07-08,Schindler's List,1993,https://boxd.it/afsznv,,,hotstar,2025-07-07
2025-07-08,Her,2013,https://boxd.it/afzJYv,,,,2025-07-07
2025-07-09,The Florida Project,2017,https://boxd.it/agjMd5,,,prime,2025-07-08
2025-07-09,In the Mood for Love,2000,https://boxd.it/agLmXx,,,cn,2025-07-09
2025-07-10,Flatliners,1990,https://boxd.it/ah2oOh,,,,2025-07-10
2025-07-11,Frances Ha,2012,https://boxd.it/ahBdbj,,,,2025-07-10
2025-07-11,Isle of Dogs,2018,https://boxd.it/aibFUt,,,animated,2025-07-11
2025-07-12,High and Low,1963,https://boxd.it/aiAAI3,,,jp,2025-07-12
2025-07-14,Flow,2024,https://boxd.it/ak0g0r,,,animated,2025-07-13
2025-07-15,Man of Steel,2013,https://boxd.it/alpDJN,,Yes,"cbm, prime",2025-07-14
2025-07-15,Superman,2025,https://boxd.it/alpEbx,,,"theatre, cbm, barco",2025-07-15
2025-07-28,Cure,1997,https://boxd.it/avSdgD,,,jp,2025-07-28
2025-07-30,The Fantastic 4: First Steps,2025,https://boxd.it/awTHTh,,,"theatre, cbm",2025-07-29
2025-08-03,Enemy,2013,https://boxd.it/azV7sb,,,,2025-08-02
2025-08-04,Portrait of a Lady on Fire,2019,https://boxd.it/aAXcoV,,,fr,2025-08-04
2025-08-08,Suzhou River,2000,https://boxd.it/aDREs7,,,zh,2025-08-07
2025-08-12,Weapons,2025,https://boxd.it/aHgSjZ,,,theatre,2025-08-11
2025-08-12,Maborosi,1995,https://boxd.it/aHHEFr,,,jp,2025-08-12
2025-08-13,"Goodbye, Dragon Inn",2003,https://boxd.it/aIfVHx,,,tw,2025-08-13
2025-08-14,La Haine,1995,https://boxd.it/aJ7dsh,,,fr,2025-08-14
2025-08-15,Field Niggas,2015,https://boxd.it/aJl0N5,,,,2025-08-15
2025-08-17,2001: A Space Odyssey,1968,https://boxd.it/aKBJy1,,,,2025-08-16
2025-08-17,The Blood of a Poet,1932,https://boxd.it/aKN2Wj,,,fr,2025-08-17
2025-08-18,Being John Malkovich,1999,https://boxd.it/aLDbSJ,,,,2025-08-18
2025-08-19,Trainspotting,1996,https://boxd.it/aMWStJ,,,,2025-08-19
2025-08-21,House,1977,https://boxd.it/aOdpiF,,,jp,2025-08-20
2025-08-23,Chime,2024,https://boxd.it/aP8El9,,,jp,2025-08-22
2025-08-24,Last and First Men,2020,https://boxd.it/aPQVP9,,,,2025-08-23
2025-08-25,Adaptation.,2002,https://boxd.it/aQG10D,,,,2025-08-24
2025-09-02,"It's Never Over, Jeff Buckley",2025,https://boxd.it/aWddyt,,,,2025-09-01
2025-09-02,Magnolia,1999,https://boxd.it/aWhggP,,,ptafest25,2025-09-02
2025-09-03,The Master,2012,https://boxd.it/aXh1Dj,,,ptafest25,2025-09-03
2025-09-04,Phantom Thread,2017,https://boxd.it/aXVqMP,,,ptafest25,2025-09-04
2025-09-05,Punch-Drunk Love,2002,https://boxd.it/aYpRO9,,,ptafest25,2025-09-05
2025-09-28,There Will Be Blood,2007,https://boxd.it/bcqwsp,,,ptafest25,2025-09-06
2025-09-27,One Battle After Another,2025,https://boxd.it/bbtzSn,,,"theatre, pcx, ptafest25",2025-09-26
2025-09-28,Yi Yi,2000,https://boxd.it/bbSGST,,,tw,2025-09-27
2025-09-29,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/bcAfxd,,,hotstar,2025-09-28
2025-09-29,The Lobster,2015,https://boxd.it/bdh4Pr,,,,2025-09-29
2025-09-30,Chainsaw Man – The Movie: Reze Arc,2025,https://boxd.it/bdp7KP,,,"jp, theatre, animated, barco",2025-09-29
2025-09-30,Who Will Write Our History?,2018,https://boxd.it/bdQzZR,,,,2025-09-30
2025-09-30,Night and Fog,1956,https://boxd.it/bdR00B,,,fr,2025-09-30
2025-10-02,2046,2004,https://boxd.it/bevuDj,,,cn,2025-10-01
2025-10-02,"Synecdoche, New York",2008,https://boxd.it/beAsGb,,,,2025-10-01
