Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-09-03,anime,,https://boxd.it/OnFay,

Position,Name,Year,URL,Description
1,The Tatami Galaxy,2010,https://boxd.it/oL50,
2,Inu-Oh,2021,https://boxd.it/nQDE,
3,Kizumonogatari Part 3: Reiketsu,2017,https://boxd.it/cq8y,
4,Sonny Boy,2021,https://boxd.it/vYTQ,
5,On-Gaku: Our Sound,2019,https://boxd.it/ndze,
6,Perfect Blue,1997,https://boxd.it/1W7A,
7,Akira,1988,https://boxd.it/2b1i,
8,Paprika,2006,https://boxd.it/23wW,
9,My Neighbor Totoro,1988,https://boxd.it/20eA,
10,Howl's Moving Castle,2004,https://boxd.it/23De,
11,Belle,2021,https://boxd.it/tbEe,
12,The Girl from the Other Side,2022,https://boxd.it/udAq,
13,Ping Pong the Animation,2014,https://boxd.it/oL1s,
14,Showa Genroku Rakugo Shinju,2016,https://boxd.it/UhRC,
15,FLCL,2000,https://boxd.it/bWtG,
16,Beck: Mongolian Chop Squad,2004,https://boxd.it/qdyc,
17,Girls Band Cry,2024,https://boxd.it/OhRq,
