Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-09-29,favourite movie from every year i’ve been alive,,https://boxd.it/P8Du6,

Position,Name,Year,URL,Description
1,Little Miss Sunshine,2006,https://boxd.it/29EW,
2,There Will Be Blood,2007,https://boxd.it/20Z2,
3,"Synecdoche, New York",2008,https://boxd.it/23zw,
4,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ,
5,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,
6,Drive,2011,https://boxd.it/IG,
7,The Master,2012,https://boxd.it/2cBG,
8,Her,2013,https://boxd.it/4O24,
9,Mommy,2014,https://boxd.it/7Uau,
10,The Lobster,2015,https://boxd.it/7tnw,
11,La La Land,2016,https://boxd.it/a5fa,
12,Phantom Thread,2017,https://boxd.it/e4uc,
13,Isle of Dogs,2018,https://boxd.it/dZrW,
14,Parasite,2019,https://boxd.it/hTha,
15,Another Round,2020,https://boxd.it/lkba,
16,The Worst Person in the World,2021,https://boxd.it/oyws,
17,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,
18,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4,
19,The Substance,2024,https://boxd.it/zanS,
20,One Battle After Another,2025,https://boxd.it/DUHM,
21,Project Hail Mary,2026,https://boxd.it/pEeQ,
