Letterboxd list export v7
Date,Name,Tags,URL,Description
2026-05-29,L1 cache,,https://boxd.it/UJ8VE,

Position,Name,Year,URL,Description
1,Blow-Up,1966,https://boxd.it/2966,
2,Cinema Paradiso,1988,https://boxd.it/1UlA,
3,Lessons of Darkness,1992,https://boxd.it/x7I,
4,Sound of Falling,2025,https://boxd.it/Km9K,
5,Das Boot,1981,https://boxd.it/2av2,
6,The Square,2017,https://boxd.it/e5YW,
7,Triangle of Sadness,2022,https://boxd.it/hXlq,
8,Lilya 4-ever,2002,https://boxd.it/1SyW,
9,Ivan's Childhood,1962,https://boxd.it/1j6y,
10,Solaris,1972,https://boxd.it/2a2Y,
11,Tokyo Drifter,1966,https://boxd.it/OTY,
12,Ran,1985,https://boxd.it/1Tlu,
13,Blue Spring,2001,https://boxd.it/1fIo,
14,Better Days,2019,https://boxd.it/l9Ke,
15,Resurrection,2025,https://boxd.it/x9DG,
16,The Shadow's Edge,2025,https://boxd.it/SxME,
17,A Touch of Sin,2013,https://boxd.it/5Fvo,
18,Infernal Affairs,2002,https://boxd.it/1Vqw,
19,Happy Together,1997,https://boxd.it/1Ha0,
20,The Killer,1989,https://boxd.it/1Vha,
21,Rebels of the Neon God,1992,https://boxd.it/mp2,
22,Millennium Mambo,2001,https://boxd.it/1Tzw,
23,Terrorizers,1986,https://boxd.it/2IRG,
24,La Ciénaga,2001,https://boxd.it/kpk,
25,I Am Cuba,1964,https://boxd.it/1hUQ,
26,Amores Perros,2000,https://boxd.it/2bfu,
27,Roma,2018,https://boxd.it/f69M,
28,Parallel Mothers,2021,https://boxd.it/sOP4,
29,Sirāt,2025,https://boxd.it/HxJo,
30,Army of Shadows,1969,https://boxd.it/1Mli,
31,Le Samouraï,1967,https://boxd.it/22ZI,
32,La Chinoise,1967,https://boxd.it/28rC,
33,The Piano Teacher,2001,https://boxd.it/2886,
34,La Dolce Vita,1960,https://boxd.it/2anC,
