Letterboxd list export v7
Date,Name,Tags,URL,Description
2026-01-23,looking forward,,https://boxd.it/RZipS,

Position,Name,Year,URL,Description
1,The Odyssey,2026,https://boxd.it/QFQU,
2,Dune: Part Three,2026,https://boxd.it/ImWe,
3,Disclosure Day,2026,https://boxd.it/MDJY,
4,Look Back,2026,https://boxd.it/ZjRY,
5,Sheep in the Box,2026,https://boxd.it/XV3y,
6,Her Private Hell,2026,https://boxd.it/UtHY,
7,Bad Lieutenant: Tokyo,,https://boxd.it/UEnq,
8,I Want Your Sex,2026,https://boxd.it/N8by,
9,Werwulf,2026,https://boxd.it/SC72,
10,Backrooms,2026,https://boxd.it/EY6W,
11,Digger,2026,https://boxd.it/LwDC,
12,"Good Luck, Have Fun, Don't Die",2025,https://boxd.it/Glua,
13,The Drama,2026,https://boxd.it/OA2w,
14,Zi,2026,https://boxd.it/Zscq,
15,Parallel Tales,2026,https://boxd.it/HOdk,
16,Mother Mary,2026,https://boxd.it/FILw,
17,The Bride!,2026,https://boxd.it/HSw6,
18,Project Hail Mary,2026,https://boxd.it/pEeQ,
19,Clayface,2026,https://boxd.it/RTVm,
20,Pillion,2025,https://boxd.it/N6Pw,
21,Spider-Man: Brand New Day,2026,https://boxd.it/ACJE,
22,Star Wars: The Mandalorian and Grogu,2026,https://boxd.it/KCpk,
23,Coyote vs ACME,2026,https://boxd.it/JHdm,
24,The Social Reckoning,2026,https://boxd.it/MRPQ,
