Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-10-27,movies ive watched at a theater (from memory),,https://boxd.it/PLUmQ,from 2021

Position,Name,Year,URL,Description
1,Dune,2021,https://boxd.it/fA7G,
2,No Time to Die,2021,https://boxd.it/cPX2,
3,The Batman,2022,https://boxd.it/eDGs,
4,Jurassic World Dominion,2022,https://boxd.it/ikXW,
5,Puss in Boots: The Last Wish,2022,https://boxd.it/aaie,
6,Avatar: The Way of Water,2022,https://boxd.it/2E2E,
7,Past Lives,2023,https://boxd.it/oNB8,
8,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4,
9,Oppenheimer,2023,https://boxd.it/wUow,
10,Dune: Part Two,2024,https://boxd.it/pUfA,
11,The Fall Guy,2024,https://boxd.it/s0Bm,
12,Inside Out 2,2024,https://boxd.it/CFrC,
13,Longlegs,2024,https://boxd.it/KzLM,
14,Deadpool & Wolverine,2024,https://boxd.it/jq8s,
15,The Brutalist,2024,https://boxd.it/k4BO,
16,Joker: Folie à Deux,2024,https://boxd.it/xBoE,
17,Mickey 17,2025,https://boxd.it/q1Dk,
18,A Minecraft Movie,2025,https://boxd.it/zRro,
19,The Phoenician Scheme,2025,https://boxd.it/H0Ca,
20,Materialists,2025,https://boxd.it/GZlW,
21,F1,2025,https://boxd.it/yjVM,
22,28 Years Later,2025,https://boxd.it/FEGM,
23,Superman,2025,https://boxd.it/E9IU,
24,The Fantastic 4: First Steps,2025,https://boxd.it/mP6C,
25,Weapons,2025,https://boxd.it/EMTM,
26,One Battle After Another,2025,https://boxd.it/DUHM,
27,Chainsaw Man – The Movie: Reze Arc,2025,https://boxd.it/Kgyu,
28,Bugonia,2025,https://boxd.it/qeWY,
29,Black Phone 2,2025,https://boxd.it/JpbW,
30,Avatar: Fire and Ash,2025,https://boxd.it/2W7s,
31,28 Years Later: The Bone Temple,2026,https://boxd.it/MwlA,
32,Marty Supreme,2025,https://boxd.it/Off0,
33,The Secret Agent,2025,https://boxd.it/KkUE,
34,Hamnet,2025,https://boxd.it/woVy,
35,The Bride!,2026,https://boxd.it/HSw6,
36,Dhurandhar The Revenge,2026,https://boxd.it/Z0Uu,
37,Project Hail Mary,2026,https://boxd.it/pEeQ,
38,The Drama,2026,https://boxd.it/OA2w,
39,The Sheep Detectives,2026,https://boxd.it/NDSe,
