Letterboxd list export v7
Date,Name,Tags,URL,Description
2026-05-25,netflix watchlist,,https://boxd.it/UErW2,

Position,Name,Year,URL,Description
1,White Noise,2022,https://boxd.it/rXgK,
2,Roma,2018,https://boxd.it/f69M,
3,The Lost Daughter,2021,https://boxd.it/kgww,
4,Pavane,2026,https://boxd.it/MmUq,
5,Heat,1995,https://boxd.it/2bg8,
6,Once Upon a Time... in Hollywood,2019,https://boxd.it/gH0O,
7,The Blair Witch Project,1999,https://boxd.it/26ua,
8,I'm Thinking of Ending Things,2020,https://boxd.it/i4IQ,
9,Rosemary's Baby,1968,https://boxd.it/29zM,
10,Gangs of New York,2002,https://boxd.it/25FG,
11,Scarface,1983,https://boxd.it/2b7g,
12,Fight Club,1999,https://boxd.it/2a9q,
13,The Age of Innocence,1993,https://boxd.it/1WgM,
14,Even If This Love Disappears Tonight,2025,https://boxd.it/Uleu,
15,The Ballad of Buster Scruggs,2018,https://boxd.it/jB2q,
16,Knight of Cups,2015,https://boxd.it/34Qq,
17,Y Tu Mamá También,2001,https://boxd.it/28QM,
18,Cuckoo,2024,https://boxd.it/wMjI,
19,The Last of the Mohicans,1992,https://boxd.it/1YSo,
20,Steve,2025,https://boxd.it/LekC,
21,The Power of the Dog,2021,https://boxd.it/m99E,
