Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-09-29,⭑⭑⭑⭑⭑⭑,,https://boxd.it/P8Ds0,not in order

Position,Name,Year,URL,Description
1,Fallen Angels,1995,https://boxd.it/1UkW,
2,2001: A Space Odyssey,1968,https://boxd.it/2bf0,
3,There Will Be Blood,2007,https://boxd.it/20Z2,
4,In the Mood for Love,2000,https://boxd.it/29tE,
5,Chungking Express,1994,https://boxd.it/1UDa,
6,La Haine,1995,https://boxd.it/2as8,
7,Cure,1997,https://boxd.it/1blA,
8,The Fall,2006,https://boxd.it/1NoM,
9,Lawrence of Arabia,1962,https://boxd.it/2wRE,
10,The Battle of Algiers,1966,https://boxd.it/1IRY,
