Letterboxd list export v7
Date,Name,Tags,URL,Description
2026-06-06,years,,https://boxd.it/UUixY,

Position,Name,Year,URL,Description
1,Pather Panchali,1955,https://boxd.it/22yC,
2,Vertigo,1958,https://boxd.it/2apI,
3,Hiroshima Mon Amour,1959,https://boxd.it/22WY,
4,Breathless,1960,https://boxd.it/2aIK,
5,Lawrence of Arabia,1962,https://boxd.it/2wRE,
6,High and Low,1963,https://boxd.it/1RSc,
7,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY,
8,The Battle of Algiers,1966,https://boxd.it/1IRY,
9,2001: A Space Odyssey,1968,https://boxd.it/2bf0,
10,Z,1969,https://boxd.it/26pY,
11,The Conformist,1970,https://boxd.it/20cE,
12,Scarface,1983,https://boxd.it/2b7g,
13,"Paris, Texas",1984,https://boxd.it/29Ts,
14,Tampopo,1985,https://boxd.it/1SZe,
15,Where Is the Friend's House?,1987,https://boxd.it/ELg,
16,Dead Poets Society,1989,https://boxd.it/2aSg,
17,Close-Up,1990,https://boxd.it/1m9q,
18,Riki-Oh: The Story of Ricky,1991,https://boxd.it/1IDs,
19,Schindler's List,1993,https://boxd.it/2aq2,
20,Chungking Express,1994,https://boxd.it/1UDa,
21,Fallen Angels,1995,https://boxd.it/1UkW,
22,Trainspotting,1996,https://boxd.it/29XY,
23,Cure,1997,https://boxd.it/1blA,
24,Following,1998,https://boxd.it/1Tj4,
25,Fight Club,1999,https://boxd.it/2a9q,
26,In the Mood for Love,2000,https://boxd.it/29tE,
27,All About Lily Chou-Chou,2001,https://boxd.it/1JP0,
28,Adaptation.,2002,https://boxd.it/26mA,
29,Lost in Translation,2003,https://boxd.it/2b0E,
30,2046,2004,https://boxd.it/29tu,
31,Kingdom of Heaven,2005,https://boxd.it/28Gs,
